ID_PRODUCTO	DESCRIPCIÓN DE PRODUCTO
P0053	CEFTRIAXONA - 1 GR - POLVO PARA SOLUCION INYECTABLE - TREXACAD
P0071	MELFALAN - 50 MG. + DILUY. - POLVO Y DISOLVENTE PARA SOLUCION INYECTABLE - MELFALAN
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0047	CODEINA FOSFATO - 15 MG./ 5 ML./ 60 ML.  - JARABE - CODEINA FOSFATO
P0055	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE
P0050	DICLOXACILINA - 250 MG./5 ML./60 ML. - POLVO PARA SUSPENSION ORAL
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0072	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE - FLUMAZENIL 0.5 MG/5ML
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0072	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE - FLUMAZENIL 0.5 MG/5ML
P0073	GANCICLOVIR (COMO SAL SODICA) - 500 MG - POLVO PARA CONCENTRADO PARA SOLUCION PARA PERFUSION - GANCI
P0072	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE - FLUMAZENIL 0.5 MG/5ML
P0074	ESCOPOLAMINA N-BUTIL BROMURO - 20 MG/ML INY 1ML IM/IV - SOLUCION INYECTABLE
P0016	FENOBARBITAL - 100 MG - TABLETA - FENOBARBITAL
P0051	HIDROCLOROTIAZIDA - 12.5 MG. - TABLETA - HIDROCLOROTIAZIDA
P0052	LEVETIRACETAM - 500 MG. - COMPRIMIDO RECUBIERTO - LEVEVITAE
P0001	ESCOPOLAMINA N-BUTIL BROMURO - 20 MG/ML INY 1ML IM/IV - SOLUCION INYECTABLE - N- BUTILBROMURO DE HIO
P0016	FENOBARBITAL - 100 MG - TABLETA - FENOBARBITAL
P0051	HIDROCLOROTIAZIDA - 12.5 MG. - TABLETA - HIDROCLOROTIAZIDA
P0052	LEVETIRACETAM - 500 MG. - COMPRIMIDO RECUBIERTO - LEVEVITAE
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0075	SERTRALINA - 50 MG.  - TABLETA RECUBIERTA - SERTRALINA
P0076	ENALAPRIL - 20 MG. - TABLETA - ENALAPRIL
P0028	FLUFENAZINA DECANOATO - 25 MG/ML INY 1ML - SOLUCION INYECTABLE
P0077	SULFATO DE BARIO CON EQUIPO (USO RECTAL) - 397 G. (POLVO) - POLVO PARA SUSPENSION RECTAL
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0018	NAPROXENO - 550 MG.  - TABLETA RECUBIERTA - NAPROXENO
P0078	NAPROXENO - 550 MG.  -  (VENTA A TITULO GRATUITO)
P0067	EPOETINA ALFA - 2000 UI/ML INY 1ML - SOLUCION INYECTABLE - EPOTROPIN- A
P0067	EPOETINA ALFA - 2000 UI/ML INY 1ML - SOLUCION INYECTABLE - EPOTROPIN- A
P0058	HIPROMELOSA - 0.3% SOL OFT 15ML - SOLUCION OFTALMICA - HIPROMELOSA
P0062	AMOXICILINA - 250 MG./5 ML./60 ML. - POLVO PARA SUSPENSION ORAL - AMOXICILINA
P0079	ALBENDAZOL - 100 MG./ 5 ML./ 20 ML. - SUSPENSION ORAL - ALBENDAZOL
P0041	CIPROFLOXACINO CLORHIDRATO - 0.3% - 5 ML  - SOLUCION OFTALMICA - FLOXICAD
P0063	PREDNISONA - 5 MG/5 ML SOL 120 ML + DOSIFICADOR - SOLUCION ORAL - PREDNISONA
P0080	TIMOLOL -  0.5 % / 5 ML. - SOLUCION OFTALMICA - TIMOLOL
P0081	BISACODILO - 5 MG - TABLETA DE LIBERACION RETARDADA - BISCAD
P0047	CODEINA FOSFATO - 15 MG./ 5 ML./ 60 ML.  - JARABE - CODEINA FOSFATO
P0055	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE
P0082	GANCICLOVIR (COMO SAL SODICA) - 500 MG - POLVO PARA CONCENTRADO PARA SOLUC PARA PERFUSION
P0082	GANCICLOVIR (COMO SAL SODICA) - 500 MG - POLVO PARA CONCENTRADO PARA SOLUC PARA PERFUSION
P0055	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE
P0083	CLORFENAMINA - 2 MG./ 5 ML./ 120 ML. - SOL ORAL - CLORFENAMINA MALEATO
P0082	GANCICLOVIR (COMO SAL SODICA) - 500 MG - POLVO PARA CONCENTRADO PARA SOLUC PARA PERFUSION
P0084	CLINDAMICINA (COMO CLORHIDRATO) - 300 MG - CAPSULA
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0050	DICLOXACILINA - 250 MG./5 ML./60 ML. - POLVO PARA SUSPENSION ORAL
P0047	CODEINA FOSFATO - 15 MG./ 5 ML./ 60 ML.  - JARABE - CODEINA FOSFATO
P0086	INDOMETACINA - 25 MG  - CAPSULA - IMECAD ( VENTA A TITULO GRATUITO)
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0081	BISACODILO - 5 MG - TABLETA DE LIBERACION RETARDADA - BISCAD
P0085	INDOMETACINA - 25 MG  - CAPSULA - IMECAD
P0083	CLORFENAMINA - 2 MG./ 5 ML./ 120 ML. - SOL ORAL - CLORFENAMINA MALEATO
P0048	ALPRAZOLAM - 0.5 MG - TABLETA - ALPRAZOLAM
P0087	GABAPENTINA - 300 MG - CAPSULA - NEUROCAD-300
P0087	GABAPENTINA - 300 MG - CAPSULA - NEUROCAD-300
P0087	GABAPENTINA - 300 MG - CAPSULA - NEUROCAD-300
P0055	FLUMAZENIL - 0.5MG/5ML INY 5ML - SOLUCION INYECTABLE
P0088	SIMETICONA - 80 MG. / ML. X 15 ML - SUSPENSION ORAL
P0088	SIMETICONA - 80 MG. / ML. X 15 ML - SUSPENSION ORAL
P0087	GABAPENTINA - 300 MG - CAPSULA - NEUROCAD-300
P0087	GABAPENTINA - 300 MG - CAPSULA - NEUROCAD-300
P0084	CLINDAMICINA (COMO CLORHIDRATO) - 300 MG - CAPSULA
